property	url	status	title
font-variant	http://www.w3.org/TR/2011/REC-CSS2-20110607/fonts.html#propdef-font-variant	REC	CSS 2.1
font-variant	https://drafts.csswg.org/css-fonts-3/#propdef-font-variant	ED	CSS Fonts Module Level 3
font-variant	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-variant	REC	CSS Fonts Module Level 3
font-variant	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-variant	WD	CSS Fonts Module Level 4
font-variant-alternates	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-variant-alternates	WD	CSS Fonts Module Level 4
font-variant-caps	https://drafts.csswg.org/css-fonts-3/#propdef-font-variant-caps	ED	CSS Fonts Module Level 3
font-variant-caps	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-variant-caps	REC	CSS Fonts Module Level 3
font-variant-caps	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-variant-caps	WD	CSS Fonts Module Level 4
font-variant-east-asian	https://drafts.csswg.org/css-fonts-3/#propdef-font-variant-east-asian	ED	CSS Fonts Module Level 3
font-variant-east-asian	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-variant-east-asian	REC	CSS Fonts Module Level 3
font-variant-east-asian	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-variant-east-asian	WD	CSS Fonts Module Level 4
font-variant-emoji	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-variant-emoji	WD	CSS Fonts Module Level 4
font-variant-ligatures	https://drafts.csswg.org/css-fonts-3/#propdef-font-variant-ligatures	ED	CSS Fonts Module Level 3
font-variant-ligatures	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-variant-ligatures	REC	CSS Fonts Module Level 3
font-variant-ligatures	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-variant-ligatures	WD	CSS Fonts Module Level 4
font-variant-numeric	https://drafts.csswg.org/css-fonts-3/#propdef-font-variant-numeric	ED	CSS Fonts Module Level 3
font-variant-numeric	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-variant-numeric	REC	CSS Fonts Module Level 3
font-variant-numeric	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-variant-numeric	WD	CSS Fonts Module Level 4
font-variant-position	https://drafts.csswg.org/css-fonts-3/#propdef-font-variant-position	ED	CSS Fonts Module Level 3
font-variant-position	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-variant-position	REC	CSS Fonts Module Level 3
font-variant-position	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-variant-position	WD	CSS Fonts Module Level 4
font-variation-settings	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-variation-settings	WD	CSS Fonts Module Level 4
font-weight	http://www.w3.org/TR/2011/REC-CSS2-20110607/fonts.html#propdef-font-weight	REC	CSS 2.1
font-weight	https://drafts.csswg.org/css-fonts-3/#propdef-font-weight	ED	CSS Fonts Module Level 3
font-weight	https://www.w3.org/TR/2018/REC-css-fonts-3-20180920/#propdef-font-weight	REC	CSS Fonts Module Level 3
font-weight	https://www.w3.org/TR/2021/WD-css-fonts-4-20211221/#propdef-font-weight	WD	CSS Fonts Module Level 4
footnote-display	https://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-footnote-display	WD	CSS Generated Content for Paged Media Module
footnote-policy	https://www.w3.org/TR/2014/WD-css-gcpm-3-20140513/#propdef-footnote-policy	WD	CSS Generated Content for Paged Media Module
forced-color-adjust	https://www.w3.org/TR/2022/CR-css-color-adjust-1-20220210/#propdef-forced-color-adjust	CR	CSS Color Adjustment Module Level 1
gap	https://www.w3.org/TR/2021/WD-css-align-3-20211224/#propdef-gap	WD	CSS Box Alignment Module Level 3
glyph-orientation-vertical	https://www.w3.org/TR/2019/CR-css-writing-modes-4-20190730/#propdef-glyph-orientation-vertical	CR	CSS Writing Modes Level 4
glyph-orientation-vertical	https://www.w3.org/TR/2019/REC-css-writing-modes-3-20191210/#propdef-glyph-orientation-vertical	REC	CSS Writing Modes Level 3
grid	https://drafts.csswg.org/css-template/#grid	ED	CSS Template Layout Module
grid	https://www.w3.org/TR/2015/NOTE-css-template-3-20150326/#grid	NOTE	CSS Template Layout Module
grid	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid	CRD	CSS Grid Layout Module Level 1
grid	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid	CRD	CSS Grid Layout Module Level 2
grid-area	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-area	CRD	CSS Grid Layout Module Level 1
grid-area	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-area	CRD	CSS Grid Layout Module Level 2
grid-auto-columns	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-auto-columns	CRD	CSS Grid Layout Module Level 1
grid-auto-columns	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-auto-columns	CRD	CSS Grid Layout Module Level 2
grid-auto-flow	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-auto-flow	CRD	CSS Grid Layout Module Level 1
grid-auto-flow	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-auto-flow	CRD	CSS Grid Layout Module Level 2
grid-auto-rows	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-auto-rows	CRD	CSS Grid Layout Module Level 1
grid-auto-rows	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-auto-rows	CRD	CSS Grid Layout Module Level 2
grid-column	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-column	CRD	CSS Grid Layout Module Level 1
grid-column	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-column	CRD	CSS Grid Layout Module Level 2
grid-column-end	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-column-end	CRD	CSS Grid Layout Module Level 1
grid-column-end	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-column-end	CRD	CSS Grid Layout Module Level 2
grid-column-start	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-column-start	CRD	CSS Grid Layout Module Level 1
grid-column-start	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-column-start	CRD	CSS Grid Layout Module Level 2
grid-row	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-row	CRD	CSS Grid Layout Module Level 1
grid-row	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-row	CRD	CSS Grid Layout Module Level 2
grid-row-end	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-row-end	CRD	CSS Grid Layout Module Level 1
grid-row-end	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-row-end	CRD	CSS Grid Layout Module Level 2
grid-row-start	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-row-start	CRD	CSS Grid Layout Module Level 1
grid-row-start	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-row-start	CRD	CSS Grid Layout Module Level 2
grid-template	https://drafts.csswg.org/css-template/#grid-template0	ED	CSS Template Layout Module
grid-template	https://www.w3.org/TR/2015/NOTE-css-template-3-20150326/#grid-template0	NOTE	CSS Template Layout Module
grid-template	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-template	CRD	CSS Grid Layout Module Level 1
grid-template	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-template	CRD	CSS Grid Layout Module Level 2
grid-template-areas	https://drafts.csswg.org/css-template/#grid-template-areas	ED	CSS Template Layout Module
grid-template-areas	https://www.w3.org/TR/2015/NOTE-css-template-3-20150326/#grid-template-areas	NOTE	CSS Template Layout Module
grid-template-areas	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-template-areas	CRD	CSS Grid Layout Module Level 1
grid-template-areas	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-template-areas	CRD	CSS Grid Layout Module Level 2
grid-template-columns	https://drafts.csswg.org/css-template/#grid-template-columns	ED	CSS Template Layout Module
grid-template-columns	https://www.w3.org/TR/2015/NOTE-css-template-3-20150326/#grid-template-columns	NOTE	CSS Template Layout Module
grid-template-columns	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-template-columns	CRD	CSS Grid Layout Module Level 1
grid-template-columns	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-template-columns	CRD	CSS Grid Layout Module Level 2
grid-template-rows	https://drafts.csswg.org/css-template/#grid-template-rows	ED	CSS Template Layout Module
grid-template-rows	https://www.w3.org/TR/2015/NOTE-css-template-3-20150326/#grid-template-rows	NOTE	CSS Template Layout Module
grid-template-rows	https://www.w3.org/TR/2020/CRD-css-grid-1-20201218/#propdef-grid-template-rows	CRD	CSS Grid Layout Module Level 1
grid-template-rows	https://www.w3.org/TR/2020/CRD-css-grid-2-20201218/#propdef-grid-template-rows	CRD	CSS Grid Layout Module Level 2
hanging-punctuation	https://www.w3.org/TR/2021/CRD-css-text-3-20210422/#propdef-hanging-punctuation	CRD	CSS Text Module Level 3
hanging-punctuation	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-hanging-punctuation	WD	CSS Text Module Level 4
height	http://www.w3.org/TR/2011/REC-CSS2-20110607/visudet.html#propdef-height	REC	CSS 2.1
height	https://www.w3.org/TR/2021/WD-css-sizing-3-20211217/#propdef-height	WD	CSS Box Sizing Module Level 3
hyphenate-character	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-hyphenate-character	WD	CSS Text Module Level 4
hyphenate-limit-chars	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-hyphenate-limit-chars	WD	CSS Text Module Level 4
hyphenate-limit-last	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-hyphenate-limit-last	WD	CSS Text Module Level 4
hyphenate-limit-lines	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-hyphenate-limit-lines	WD	CSS Text Module Level 4
hyphenate-limit-zone	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-hyphenate-limit-zone	WD	CSS Text Module Level 4
hyphens	https://www.w3.org/TR/2021/CRD-css-text-3-20210422/#propdef-hyphens	CRD	CSS Text Module Level 3
hyphens	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-hyphens	WD	CSS Text Module Level 4
image-orientation	https://www.w3.org/TR/2020/CRD-css-images-3-20201217/#propdef-image-orientation	CRD	CSS Images Module Level 3
image-rendering	https://www.w3.org/TR/2020/CRD-css-images-3-20201217/#propdef-image-rendering	CRD	CSS Images Module Level 3
image-resolution	https://www.w3.org/TR/2017/WD-css-images-4-20170413/#propdef-image-resolution	WD	CSS Image Values and Replaced Content Module Level 4
initial-letter	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-initial-letter	WD	CSS Inline Layout Module Level 3
initial-letter-align	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-initial-letter-align	WD	CSS Inline Layout Module Level 3
initial-letter-wrap	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-initial-letter-wrap	WD	CSS Inline Layout Module Level 3
inline-size	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-inline-size	WD	CSS Logical Properties and Values Level 1
inline-sizing	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-inline-sizing	WD	CSS Inline Layout Module Level 3
inset	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-inset	WD	CSS Logical Properties and Values Level 1
inset	https://www.w3.org/TR/2021/WD-css-position-3-20211216/#propdef-inset	WD	CSS Positioned Layout Module Level 3
inset-block	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-inset-block	WD	CSS Logical Properties and Values Level 1
inset-block	https://www.w3.org/TR/2021/WD-css-position-3-20211216/#propdef-inset-block	WD	CSS Positioned Layout Module Level 3
inset-block-end	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-inset-block-end	WD	CSS Logical Properties and Values Level 1
inset-block-end	https://www.w3.org/TR/2021/WD-css-position-3-20211216/#propdef-inset-block-end	WD	CSS Positioned Layout Module Level 3
inset-block-start	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-inset-block-start	WD	CSS Logical Properties and Values Level 1
inset-block-start	https://www.w3.org/TR/2021/WD-css-position-3-20211216/#propdef-inset-block-start	WD	CSS Positioned Layout Module Level 3
inset-inline	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-inset-inline	WD	CSS Logical Properties and Values Level 1
inset-inline	https://www.w3.org/TR/2021/WD-css-position-3-20211216/#propdef-inset-inline	WD	CSS Positioned Layout Module Level 3
inset-inline-end	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-inset-inline-end	WD	CSS Logical Properties and Values Level 1
inset-inline-end	https://www.w3.org/TR/2021/WD-css-position-3-20211216/#propdef-inset-inline-end	WD	CSS Positioned Layout Module Level 3
inset-inline-start	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-inset-inline-start	WD	CSS Logical Properties and Values Level 1
inset-inline-start	https://www.w3.org/TR/2021/WD-css-position-3-20211216/#propdef-inset-inline-start	WD	CSS Positioned Layout Module Level 3
isolation	https://drafts.fxtf.org/compositing-1/#propdef-isolation	ED	Compositing and Blending Level 1
isolation	https://www.w3.org/TR/2015/CR-compositing-1-20150113/#propdef-isolation	CR	Compositing and Blending Level 1
justify-content	https://www.w3.org/TR/2018/CR-css-flexbox-1-20181119/#propdef-justify-content	CR	CSS Flexible Box Layout Module Level 1
justify-content	https://www.w3.org/TR/2021/WD-css-align-3-20211224/#propdef-justify-content	WD	CSS Box Alignment Module Level 3
justify-items	https://www.w3.org/TR/2021/WD-css-align-3-20211224/#propdef-justify-items	WD	CSS Box Alignment Module Level 3
justify-self	https://www.w3.org/TR/2021/WD-css-align-3-20211224/#propdef-justify-self	WD	CSS Box Alignment Module Level 3
leading-trim	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-leading-trim	WD	CSS Inline Layout Module Level 3
left	http://www.w3.org/TR/2011/REC-CSS2-20110607/visuren.html#propdef-left	REC	CSS 2.1
left	https://www.w3.org/TR/2021/WD-css-position-3-20211216/#propdef-left	WD	CSS Positioned Layout Module Level 3
letter-spacing	http://www.w3.org/TR/2011/REC-CSS2-20110607/text.html#propdef-letter-spacing	REC	CSS 2.1
letter-spacing	https://www.w3.org/TR/2021/CRD-css-text-3-20210422/#propdef-letter-spacing	CRD	CSS Text Module Level 3
letter-spacing	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-letter-spacing	WD	CSS Text Module Level 4
lighting-color	https://drafts.fxtf.org/filter-effects-1/#propdef-lighting-color	ED	Filter Effects Module Level 1
lighting-color	https://www.w3.org/TR/2018/WD-filter-effects-1-20181218/#propdef-lighting-color	WD	Filter Effects Module Level 1
line-break	https://www.w3.org/TR/2021/CRD-css-text-3-20210422/#propdef-line-break	CRD	CSS Text Module Level 3
line-break	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-line-break	WD	CSS Text Module Level 4
line-clamp	https://www.w3.org/TR/2021/WD-css-overflow-3-20211223/#propdef-line-clamp	WD	CSS Overflow Module Level 3
line-grid	https://www.w3.org/TR/2014/WD-css-line-grid-1-20140916/#propdef-line-grid	WD	CSS Line Grid Module Level 1
line-height	http://www.w3.org/TR/2011/REC-CSS2-20110607/visudet.html#propdef-line-height	REC	CSS 2.1
line-height	https://www.w3.org/TR/2020/WD-css-inline-3-20200827/#propdef-line-height	WD	CSS Inline Layout Module Level 3
line-height-step	https://www.w3.org/TR/2017/WD-css-rhythm-1-20170302/#propdef-line-height-step	FPWD	CSS Rhythmic Sizing
line-padding	https://www.w3.org/TR/2022/WD-css-text-4-20220318/#propdef-line-padding	WD	CSS Text Module Level 4
line-snap	https://www.w3.org/TR/2014/WD-css-line-grid-1-20140916/#propdef-line-snap	WD	CSS Line Grid Module Level 1
list-style	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-list-style	REC	CSS 2.1
list-style	https://www.w3.org/TR/2020/WD-css-lists-3-20201117/#propdef-list-style	WD	CSS Lists and Counters Module Level 3
list-style-image	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-list-style-image	REC	CSS 2.1
list-style-image	https://www.w3.org/TR/2020/WD-css-lists-3-20201117/#propdef-list-style-image	WD	CSS Lists and Counters Module Level 3
list-style-position	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-list-style-position	REC	CSS 2.1
list-style-position	https://www.w3.org/TR/2020/WD-css-lists-3-20201117/#propdef-list-style-position	WD	CSS Lists and Counters Module Level 3
list-style-type	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-list-style-type	REC	CSS 2.1
list-style-type	https://www.w3.org/TR/2020/WD-css-lists-3-20201117/#propdef-list-style-type	WD	CSS Lists and Counters Module Level 3
margin	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-margin	REC	CSS 2.1
margin	https://www.w3.org/TR/2020/CR-css-box-3-20201222/#propdef-margin	CR	CSS Box Model Module Level 3
margin	https://www.w3.org/TR/2020/WD-css-box-4-20200421/#propdef-margin	FPWD	CSS Box Model Module Level 4
margin-block	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-margin-block	WD	CSS Logical Properties and Values Level 1
margin-block-end	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-margin-block-end	WD	CSS Logical Properties and Values Level 1
margin-block-start	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-margin-block-start	WD	CSS Logical Properties and Values Level 1
margin-bottom	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-margin-bottom	REC	CSS 2.1
margin-bottom	https://www.w3.org/TR/2020/CR-css-box-3-20201222/#propdef-margin-bottom	CR	CSS Box Model Module Level 3
margin-bottom	https://www.w3.org/TR/2020/WD-css-box-4-20200421/#propdef-margin-bottom	FPWD	CSS Box Model Module Level 4
margin-break	https://www.w3.org/TR/2018/WD-css-break-4-20181218/#propdef-margin-break	FPWD	CSS Fragmentation Module Level 4
margin-inline	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-margin-inline	WD	CSS Logical Properties and Values Level 1
margin-inline-end	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-margin-inline-end	WD	CSS Logical Properties and Values Level 1
margin-inline-start	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-margin-inline-start	WD	CSS Logical Properties and Values Level 1
margin-left	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-margin-left	REC	CSS 2.1
margin-left	https://www.w3.org/TR/2020/CR-css-box-3-20201222/#propdef-margin-left	CR	CSS Box Model Module Level 3
margin-left	https://www.w3.org/TR/2020/WD-css-box-4-20200421/#propdef-margin-left	FPWD	CSS Box Model Module Level 4
margin-right	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-margin-right	REC	CSS 2.1
margin-right	https://www.w3.org/TR/2020/CR-css-box-3-20201222/#propdef-margin-right	CR	CSS Box Model Module Level 3
margin-right	https://www.w3.org/TR/2020/WD-css-box-4-20200421/#propdef-margin-right	FPWD	CSS Box Model Module Level 4
margin-top	http://www.w3.org/TR/2011/REC-CSS2-20110607/box.html#propdef-margin-top	REC	CSS 2.1
margin-top	https://www.w3.org/TR/2020/CR-css-box-3-20201222/#propdef-margin-top	CR	CSS Box Model Module Level 3
margin-top	https://www.w3.org/TR/2020/WD-css-box-4-20200421/#propdef-margin-top	FPWD	CSS Box Model Module Level 4
margin-trim	https://www.w3.org/TR/2020/WD-css-box-4-20200421/#propdef-margin-trim	FPWD	CSS Box Model Module Level 4
marker	https://svgwg.org/specs/markers/#MarkerProperty	ED	SVG Markers
marker	https://www.w3.org/TR/2015/WD-svg-markers-20150409/#MarkerProperty	FPWD	SVG Markers
marker-end	https://svgwg.org/specs/markers/#MarkerEndProperty	ED	SVG Markers
marker-end	https://www.w3.org/TR/2015/WD-svg-markers-20150409/#MarkerEndProperty	FPWD	SVG Markers
marker-knockout-left	https://svgwg.org/specs/markers/#MarkerKnockoutLeftProperty	ED	SVG Markers
marker-knockout-left	https://www.w3.org/TR/2015/WD-svg-markers-20150409/#MarkerKnockoutLeftProperty	FPWD	SVG Markers
marker-knockout-right	https://svgwg.org/specs/markers/#MarkerKnockoutRightProperty	ED	SVG Markers
marker-knockout-right	https://www.w3.org/TR/2015/WD-svg-markers-20150409/#MarkerKnockoutRightProperty	FPWD	SVG Markers
marker-mid	https://svgwg.org/specs/markers/#MarkerMidProperty	ED	SVG Markers
marker-mid	https://www.w3.org/TR/2015/WD-svg-markers-20150409/#MarkerMidProperty	FPWD	SVG Markers
marker-pattern	https://svgwg.org/specs/markers/#MarkerPatternProperty	ED	SVG Markers
marker-pattern	https://www.w3.org/TR/2015/WD-svg-markers-20150409/#MarkerPatternProperty	FPWD	SVG Markers
marker-segment	https://svgwg.org/specs/markers/#MarkerSegmentProperty	ED	SVG Markers
marker-segment	https://www.w3.org/TR/2015/WD-svg-markers-20150409/#MarkerSegmentProperty	FPWD	SVG Markers
marker-side	https://www.w3.org/TR/2020/WD-css-lists-3-20201117/#propdef-marker-side	WD	CSS Lists and Counters Module Level 3
marker-start	https://svgwg.org/specs/markers/#MarkerStartProperty	ED	SVG Markers
marker-start	https://www.w3.org/TR/2015/WD-svg-markers-20150409/#MarkerStartProperty	FPWD	SVG Markers
mask	https://drafts.fxtf.org/css-masking-1/#propdef-mask	ED	CSS Masking Module Level 1
mask	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask	CRD	CSS Masking Module Level 1
mask-border	https://drafts.fxtf.org/css-masking-1/#propdef-mask-border	ED	CSS Masking Module Level 1
mask-border	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-border	CRD	CSS Masking Module Level 1
mask-border-mode	https://drafts.fxtf.org/css-masking-1/#propdef-mask-border-mode	ED	CSS Masking Module Level 1
mask-border-mode	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-border-mode	CRD	CSS Masking Module Level 1
mask-border-outset	https://drafts.fxtf.org/css-masking-1/#propdef-mask-border-outset	ED	CSS Masking Module Level 1
mask-border-outset	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-border-outset	CRD	CSS Masking Module Level 1
mask-border-repeat	https://drafts.fxtf.org/css-masking-1/#propdef-mask-border-repeat	ED	CSS Masking Module Level 1
mask-border-repeat	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-border-repeat	CRD	CSS Masking Module Level 1
mask-border-slice	https://drafts.fxtf.org/css-masking-1/#propdef-mask-border-slice	ED	CSS Masking Module Level 1
mask-border-slice	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-border-slice	CRD	CSS Masking Module Level 1
mask-border-source	https://drafts.fxtf.org/css-masking-1/#propdef-mask-border-source	ED	CSS Masking Module Level 1
mask-border-source	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-border-source	CRD	CSS Masking Module Level 1
mask-border-width	https://drafts.fxtf.org/css-masking-1/#propdef-mask-border-width	ED	CSS Masking Module Level 1
mask-border-width	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-border-width	CRD	CSS Masking Module Level 1
mask-clip	https://drafts.fxtf.org/css-masking-1/#propdef-mask-clip	ED	CSS Masking Module Level 1
mask-clip	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-clip	CRD	CSS Masking Module Level 1
mask-composite	https://drafts.fxtf.org/css-masking-1/#propdef-mask-composite	ED	CSS Masking Module Level 1
mask-composite	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-composite	CRD	CSS Masking Module Level 1
mask-image	https://drafts.fxtf.org/css-masking-1/#propdef-mask-image	ED	CSS Masking Module Level 1
mask-image	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-image	CRD	CSS Masking Module Level 1
mask-mode	https://drafts.fxtf.org/css-masking-1/#propdef-mask-mode	ED	CSS Masking Module Level 1
mask-mode	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-mode	CRD	CSS Masking Module Level 1
mask-origin	https://drafts.fxtf.org/css-masking-1/#propdef-mask-origin	ED	CSS Masking Module Level 1
mask-origin	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-origin	CRD	CSS Masking Module Level 1
mask-position	https://drafts.fxtf.org/css-masking-1/#propdef-mask-position	ED	CSS Masking Module Level 1
mask-position	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-position	CRD	CSS Masking Module Level 1
mask-repeat	https://drafts.fxtf.org/css-masking-1/#propdef-mask-repeat	ED	CSS Masking Module Level 1
mask-repeat	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-repeat	CRD	CSS Masking Module Level 1
mask-size	https://drafts.fxtf.org/css-masking-1/#propdef-mask-size	ED	CSS Masking Module Level 1
mask-size	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-size	CRD	CSS Masking Module Level 1
mask-type	https://drafts.fxtf.org/css-masking-1/#propdef-mask-type	ED	CSS Masking Module Level 1
mask-type	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-mask-type	CRD	CSS Masking Module Level 1
max-block-size	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-max-block-size	WD	CSS Logical Properties and Values Level 1
max-height	http://www.w3.org/TR/2011/REC-CSS2-20110607/visudet.html#propdef-max-height	REC	CSS 2.1
max-height	https://www.w3.org/TR/2021/WD-css-sizing-3-20211217/#propdef-max-height	WD	CSS Box Sizing Module Level 3
max-inline-size	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-max-inline-size	WD	CSS Logical Properties and Values Level 1
max-lines	https://www.w3.org/TR/2017/WD-css-overflow-4-20170613/#propdef-max-lines	FPWD	CSS Overflow Module Level 4
max-lines	https://www.w3.org/TR/2021/WD-css-overflow-3-20211223/#propdef-max-lines	WD	CSS Overflow Module Level 3
max-width	http://www.w3.org/TR/2011/REC-CSS2-20110607/visudet.html#propdef-max-width	REC	CSS 2.1
max-width	https://www.w3.org/TR/2021/WD-css-sizing-3-20211217/#propdef-max-width	WD	CSS Box Sizing Module Level 3
min-block-size	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-min-block-size	WD	CSS Logical Properties and Values Level 1
min-height	http://www.w3.org/TR/2011/REC-CSS2-20110607/visudet.html#propdef-min-height	REC	CSS 2.1
min-height	https://www.w3.org/TR/2021/WD-css-sizing-3-20211217/#propdef-min-height	WD	CSS Box Sizing Module Level 3
min-inline-size	https://www.w3.org/TR/2018/WD-css-logical-1-20180827/#propdef-min-inline-size	WD	CSS Logical Properties and Values Level 1
min-intrinsic-sizing	https://www.w3.org/TR/2021/WD-css-sizing-4-20210520/#propdef-min-intrinsic-sizing	WD	CSS Box Sizing Module Level 4
min-width	http://www.w3.org/TR/2011/REC-CSS2-20110607/visudet.html#propdef-min-width	REC	CSS 2.1
min-width	https://www.w3.org/TR/2021/WD-css-sizing-3-20211217/#propdef-min-width	WD	CSS Box Sizing Module Level 3
