property	url	status	title
break-after	https://www.w3.org/TR/2014/WD-css-regions-1-20141009/#propdef-break-after	WD	CSS Regions Module Level 1
break-after	https://www.w3.org/TR/2018/CR-css-break-3-20181204/#propdef-break-after	CR	CSS Fragmentation Module Level 3
break-after	https://www.w3.org/TR/2018/WD-css-break-4-20181218/#propdef-break-after	FPWD	CSS Fragmentation Module Level 4
break-before	https://www.w3.org/TR/2014/WD-css-regions-1-20141009/#propdef-break-before	WD	CSS Regions Module Level 1
break-before	https://www.w3.org/TR/2018/CR-css-break-3-20181204/#propdef-break-before	CR	CSS Fragmentation Module Level 3
break-before	https://www.w3.org/TR/2018/WD-css-break-4-20181218/#propdef-break-before	FPWD	CSS Fragmentation Module Level 4
break-inside	https://www.w3.org/TR/2014/WD-css-regions-1-20141009/#propdef-break-inside	WD	CSS Regions Module Level 1
break-inside	https://www.w3.org/TR/2018/CR-css-break-3-20181204/#propdef-break-inside	CR	CSS Fragmentation Module Level 3
break-inside	https://www.w3.org/TR/2018/WD-css-break-4-20181218/#propdef-break-inside	FPWD	CSS Fragmentation Module Level 4
caption-side	http://www.w3.org/TR/2011/REC-CSS2-20110607/tables.html#propdef-caption-side	REC	CSS 2.1
caption-side	https://www.w3.org/TR/2019/WD-css-tables-3-20190727/#propdef-caption-side	WD	CSS Table Module Level 3
caret	https://www.w3.org/TR/2021/WD-css-ui-4-20210316/#propdef-caret	WD	CSS Basic User Interface Module Level 4
caret-color	https://www.w3.org/TR/2018/REC-css-ui-3-20180621/#propdef-caret-color	REC	CSS Basic User Interface Module Level 3 (CSS3 UI)
caret-color	https://www.w3.org/TR/2021/WD-css-ui-4-20210316/#propdef-caret-color	WD	CSS Basic User Interface Module Level 4
caret-shape	https://www.w3.org/TR/2021/WD-css-ui-4-20210316/#propdef-caret-shape	WD	CSS Basic User Interface Module Level 4
chains	https://drafts.csswg.org/css-template/#chains0	ED	CSS Template Layout Module
chains	https://www.w3.org/TR/2015/NOTE-css-template-3-20150326/#chains0	NOTE	CSS Template Layout Module
clear	http://www.w3.org/TR/2011/REC-CSS2-20110607/visuren.html#propdef-clear	REC	CSS 2.1
clear	https://www.w3.org/TR/2015/WD-css-page-floats-3-20150915/#propdef-clear	FPWD	CSS Page Floats
clip	http://www.w3.org/TR/2011/REC-CSS2-20110607/visufx.html#propdef-clip	REC	CSS 2.1
clip	https://drafts.fxtf.org/css-masking-1/#propdef-clip	ED	CSS Masking Module Level 1
clip	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-clip	CRD	CSS Masking Module Level 1
clip-path	https://drafts.fxtf.org/css-masking-1/#propdef-clip-path	ED	CSS Masking Module Level 1
clip-path	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-clip-path	CRD	CSS Masking Module Level 1
clip-rule	https://drafts.fxtf.org/css-masking-1/#propdef-clip-rule	ED	CSS Masking Module Level 1
clip-rule	https://www.w3.org/TR/2021/CRD-css-masking-1-20210805/#propdef-clip-rule	CRD	CSS Masking Module Level 1
color	http://www.w3.org/TR/2011/REC-CSS2-20110607/colors.html#propdef-color	REC	CSS 2.1
color	https://drafts.csswg.org/css-color-3/#color0	ED	CSS Color Module Level 3
color	https://drafts.csswg.org/css-color-3/#color01	ED	CSS Color Module Level 3
color	https://www.w3.org/TR/2021/WD-css-color-4-20211215/#propdef-color	WD	CSS Color Module Level 4
color	https://www.w3.org/TR/2022/REC-css-color-3-20220118/#color1	REC	CSS Color Module Level 3
color-adjust	https://www.w3.org/TR/2022/CR-css-color-adjust-1-20220210/#propdef-color-adjust	CR	CSS Color Adjustment Module Level 1
color-interpolation-filters	https://drafts.fxtf.org/filter-effects-1/#propdef-color-interpolation-filters	ED	Filter Effects Module Level 1
color-interpolation-filters	https://www.w3.org/TR/2018/WD-filter-effects-1-20181218/#propdef-color-interpolation-filters	WD	Filter Effects Module Level 1
color-scheme	https://www.w3.org/TR/2022/CR-css-color-adjust-1-20220210/#propdef-color-scheme	CR	CSS Color Adjustment Module Level 1
column-count	https://www.w3.org/TR/2021/CR-css-multicol-1-20211012/#propdef-column-count	CR	CSS Multi-column Layout Module Level 1
column-fill	https://www.w3.org/TR/2021/CR-css-multicol-1-20211012/#propdef-column-fill	CR	CSS Multi-column Layout Module Level 1
column-gap	https://www.w3.org/TR/2021/WD-css-align-3-20211224/#propdef-column-gap	WD	CSS Box Alignment Module Level 3
column-rule	https://www.w3.org/TR/2021/CR-css-multicol-1-20211012/#propdef-column-rule	CR	CSS Multi-column Layout Module Level 1
column-rule-color	https://www.w3.org/TR/2021/CR-css-multicol-1-20211012/#propdef-column-rule-color	CR	CSS Multi-column Layout Module Level 1
column-rule-style	https://www.w3.org/TR/2021/CR-css-multicol-1-20211012/#propdef-column-rule-style	CR	CSS Multi-column Layout Module Level 1
column-rule-width	https://www.w3.org/TR/2021/CR-css-multicol-1-20211012/#propdef-column-rule-width	CR	CSS Multi-column Layout Module Level 1
column-span	https://www.w3.org/TR/2021/CR-css-multicol-1-20211012/#propdef-column-span	CR	CSS Multi-column Layout Module Level 1
column-width	https://www.w3.org/TR/2021/CR-css-multicol-1-20211012/#propdef-column-width	CR	CSS Multi-column Layout Module Level 1
columns	https://www.w3.org/TR/2021/CR-css-multicol-1-20211012/#propdef-columns	CR	CSS Multi-column Layout Module Level 1
contain	https://www.w3.org/TR/2020/REC-css-contain-1-20201222/#propdef-contain	REC	CSS Containment Module Level 1
contain	https://www.w3.org/TR/2020/WD-css-contain-2-20201216/#propdef-contain	WD	CSS Containment Module Level 2
contain-intrinsic-block-size	https://www.w3.org/TR/2021/WD-css-sizing-4-20210520/#propdef-contain-intrinsic-block-size	WD	CSS Box Sizing Module Level 4
contain-intrinsic-height	https://www.w3.org/TR/2021/WD-css-sizing-4-20210520/#propdef-contain-intrinsic-height	WD	CSS Box Sizing Module Level 4
contain-intrinsic-inline-size	https://www.w3.org/TR/2021/WD-css-sizing-4-20210520/#propdef-contain-intrinsic-inline-size	WD	CSS Box Sizing Module Level 4
contain-intrinsic-size	https://www.w3.org/TR/2021/WD-css-sizing-4-20210520/#propdef-contain-intrinsic-size	WD	CSS Box Sizing Module Level 4
contain-intrinsic-width	https://www.w3.org/TR/2021/WD-css-sizing-4-20210520/#propdef-contain-intrinsic-width	WD	CSS Box Sizing Module Level 4
container	https://www.w3.org/TR/2021/WD-css-contain-3-20211221/#propdef-container	FPWD	CSS Containment Module Level 3
container-name	https://www.w3.org/TR/2021/WD-css-contain-3-20211221/#propdef-container-name	FPWD	CSS Containment Module Level 3
container-type	https://www.w3.org/TR/2021/WD-css-contain-3-20211221/#propdef-container-type	FPWD	CSS Containment Module Level 3
content	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-content	REC	CSS 2.1
content	https://www.w3.org/TR/2019/WD-css-content-3-20190802/#propdef-content	WD	CSS Generated Content Module Level 3
content-visibility	https://www.w3.org/TR/2020/WD-css-contain-2-20201216/#propdef-content-visibility	WD	CSS Containment Module Level 2
continue	https://www.w3.org/TR/2017/WD-css-overflow-4-20170613/#propdef-continue	FPWD	CSS Overflow Module Level 4
continue	https://www.w3.org/TR/2021/WD-css-overflow-3-20211223/#propdef-continue	WD	CSS Overflow Module Level 3
counter-increment	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-counter-increment	REC	CSS 2.1
counter-increment	https://www.w3.org/TR/2020/WD-css-lists-3-20201117/#propdef-counter-increment	WD	CSS Lists and Counters Module Level 3
counter-reset	http://www.w3.org/TR/2011/REC-CSS2-20110607/generate.html#propdef-counter-reset	REC	CSS 2.1
counter-reset	https://www.w3.org/TR/2020/WD-css-lists-3-20201117/#propdef-counter-reset	WD	CSS Lists and Counters Module Level 3
counter-set	https://www.w3.org/TR/2020/WD-css-lists-3-20201117/#propdef-counter-set	WD	CSS Lists and Counters Module Level 3
cue	http://www.w3.org/TR/2011/REC-CSS2-20110607/aural.html#propdef-cue	REC	CSS 2.1
cue	https://www.w3.org/TR/2020/CR-css-speech-1-20200310/#cue	CR	CSS Speech Module
cue-after	http://www.w3.org/TR/2011/REC-CSS2-20110607/aural.html#propdef-cue-after	REC	CSS 2.1
cue-after	https://www.w3.org/TR/2020/CR-css-speech-1-20200310/#cue-after	CR	CSS Speech Module
cue-before	http://www.w3.org/TR/2011/REC-CSS2-20110607/aural.html#propdef-cue-before	REC	CSS 2.1
cue-before	https://www.w3.org/TR/2020/CR-css-speech-1-20200310/#cue-before	CR	CSS Speech Module
cursor	http://www.w3.org/TR/2011/REC-CSS2-20110607/ui.html#propdef-cursor	REC	CSS 2.1
